Temperature	Energy	Magnetization	specific-Heat	susceptibility
0.010	-0.856	0.010	81788.688	146.700
0.020	-0.867	0.009	24914.125	77.570
0.030	-0.858	0.010	8764.799	47.353
0.040	-0.858	0.008	5398.608	39.243
0.050	-0.869	0.010	3275.069	31.660
0.060	-0.872	0.011	2870.701	26.692
0.070	-0.885	0.008	2160.831	22.696
0.080	-0.877	0.008	1253.387	18.477
0.090	-0.884	0.011	1153.706	17.968
0.100	-0.866	0.011	918.011	15.808
0.110	-0.876	0.009	707.737	15.531
0.120	-0.890	0.010	726.442	14.308
0.130	-0.869	0.009	522.966	12.534
0.140	-0.883	0.008	440.512	11.717
0.150	-0.862	0.009	407.135	10.171
0.160	-0.879	0.009	349.138	10.798
0.170	-0.881	0.011	311.762	9.916
0.180	-0.872	0.011	311.284	9.410
0.190	-0.876	0.009	250.889	8.785
0.200	-0.873	0.011	217.386	7.779
0.210	-0.877	0.010	183.865	7.242
0.220	-0.866	0.011	204.388	7.255
0.230	-0.874	0.011	204.718	7.514
0.240	-0.876	0.008	153.369	6.553
0.250	-0.876	0.009	150.964	6.660
0.260	-0.860	0.011	150.251	6.451
0.270	-0.868	0.009	120.497	5.093
0.280	-0.882	0.010	96.689	5.003
0.290	-0.875	0.007	96.127	4.743
0.300	-0.871	0.008	83.055	4.607
0.310	-0.859	0.008	111.405	4.733
0.320	-0.862	0.007	90.946	4.445
0.330	-0.873	0.008	72.408	3.889
0.340	-0.859	0.007	70.525	3.847
0.350	-0.863	0.011	59.215	3.869
0.360	-0.854	0.007	63.603	3.826
0.370	-0.851	0.007	56.705	3.603
0.380	-0.873	0.009	61.587	3.558
0.390	-0.867	0.010	52.919	3.386
0.400	-0.849	0.008	45.882	3.487
0.410	-0.862	0.007	48.504	3.241
0.420	-0.907	0.010	42.876	3.621
0.430	-0.865	0.008	47.652	3.584
0.440	-0.857	0.008	41.908	3.370
0.450	-0.863	0.009	40.509	3.266
0.460	-0.868	0.008	35.793	3.206
0.470	-0.891	0.010	40.867	3.008
0.480	-0.868	0.008	34.697	2.988
0.490	-0.868	0.008	39.466	3.070
0.500	-0.867	0.006	33.112	2.859
0.510	-0.858	0.009	31.636	2.922
0.520	-0.866	0.008	34.002	2.965
0.530	-0.868	0.008	30.055	2.741
0.540	-0.856	0.010	27.441	2.626
0.550	-0.872	0.007	27.851	2.917
0.560	-0.856	0.008	23.301	2.788
0.570	-0.864	0.010	25.475	2.501
0.580	-0.860	0.006	26.794	2.655
0.590	-0.883	0.009	22.081	2.626
0.600	-0.859	0.010	23.683	2.409
0.610	-0.838	0.009	21.173	2.486
0.620	-0.847	0.009	20.335	2.585
0.630	-0.877	0.008	20.567	2.372
0.640	-0.859	0.010	22.969	2.429
0.650	-0.851	0.006	18.702	2.279
0.660	-0.858	0.009	19.472	2.332
0.670	-0.824	0.009	16.113	2.214
0.680	-0.835	0.007	15.395	2.261
0.690	-0.837	0.009	15.382	2.207
0.700	-0.824	0.011	15.468	2.341
0.710	-0.825	0.008	13.985	1.937
0.720	-0.818	0.007	14.287	1.998
0.730	-0.829	0.007	15.510	2.106
0.740	-0.800	0.008	12.385	1.952
0.750	-0.815	0.009	11.746	1.978
0.760	-0.795	0.006	11.532	1.870
0.770	-0.792	0.008	12.734	2.024
0.780	-0.811	0.012	12.578	1.864
0.790	-0.802	0.008	11.925	1.786
0.800	-0.801	0.009	11.371	1.781
0.810	-0.796	0.011	10.783	1.902
0.820	-0.789	0.009	10.017	1.803
0.830	-0.785	0.009	8.672	1.708
0.840	-0.800	0.011	10.015	1.774
0.850	-0.775	0.008	8.405	1.666
0.860	-0.767	0.008	8.035	1.726
0.870	-0.765	0.012	8.796	1.732
0.880	-0.767	0.011	8.805	1.673
0.890	-0.758	0.008	7.659	1.704
0.900	-0.766	0.010	7.486	1.673
0.910	-0.768	0.009	8.405	1.689
0.920	-0.752	0.009	6.779	1.610
0.930	-0.761	0.012	7.187	1.669
0.940	-0.747	0.008	6.887	1.457
0.950	-0.755	0.009	6.694	1.565
0.960	-0.738	0.011	6.034	1.555
0.970	-0.748	0.009	5.566	1.521
0.980	-0.732	0.008	5.535	1.536
0.990	-0.723	0.009	5.606	1.482
1.000	-0.715	0.010	5.615	1.520
1.010	-0.732	0.011	5.922	1.495
1.020	-0.709	0.005	5.014	1.341
1.030	-0.717	0.009	4.486	1.411
1.040	-0.710	0.008	5.284	1.395
1.050	-0.719	0.004	4.786	1.275
1.060	-0.719	0.009	4.196	1.224
1.070	-0.703	0.010	4.592	1.321
1.080	-0.700	0.008	5.012	1.273
1.090	-0.689	0.007	4.322	1.247
1.100	-0.698	0.008	4.017	1.282
1.110	-0.680	0.004	3.369	1.159
1.120	-0.677	0.008	3.282	1.241
1.130	-0.676	0.005	3.923	1.203
1.140	-0.682	0.009	3.643	1.253
1.150	-0.679	0.007	3.772	1.300
1.160	-0.676	0.010	3.335	1.181
1.170	-0.672	0.008	3.418	1.147
